Week Return On;KO US Equity;FLR US Equity;GE US Equity;AMZN US Equity;WMT US Equity
24/04/2015;0,014640199;0,009912634;-0,016515169;0,185163489;0,025166923
1/05/2015;0,000489117;-0,023456996;0,019032277;-0,049943833;-0,015531062
8/05/2015;0,001711073;0,016354344;0,001828446;0,02558706;-0,000890585
15/05/2015;0,01317716;-0,007207509;-0,003288998;-0,017731559;0,009041131
22/05/2015;-0,007466281;-0,021273004;0,015034353;0,003826291;-0,042655225
29/05/2015;-0,006066489;-0,030188028;-0,014811669;0,003741552;-0,020959663
5/06/2015;-0,020996094;-0,010316613;0,000736267;-0,005311837;-0,016291908
12/06/2015;-0,003491272;-0,010424155;0,003663381;0,006956318;-0,00862305
19/06/2015;0,011011011;0,009625863;-0,005476913;0,011630071;0,004279994
26/06/2015;-0,00990099;-0,018528512;-0,005507075;0,00731169;-0,008523508
3/07/2015;-0,01275;-0,030241935;-0,011443801;-0,000890208;-0,003605103
10/07/2015;0,02279058;-0,041013041;-0,019042587;0,013250782;0,017534094
17/07/2015;0,021292399;-0,009262909;0,036923662;0,089062253;0,00369256
24/07/2015;-0,019636364;-0,043962602;-0,0547003;0,096084967;-0,024662761
31/07/2015;0,015825915;-0,027257595;0,013594751;0,012712024;0,005588153
7/08/2015;0,016796495;0,015187166;-0,011877857;-0,025235475;-0,010141706
14/08/2015;-0,012449126;0,012010114;0,011242119;0,017029582;0,015859649
21/08/2015;-0,04169697;-0,063710181;-0,057129409;-0,06970575;-0,080685272
28/08/2015;-0,002023779;0,015121192;0,023179564;0,047606528;-0,024045687
4/09/2015;-0,023574144;-0,043592552;-0,046106901;-0,036698133;-0,016168771
11/09/2015;-0,010124611;0,036188731;0,039583875;0,061002004;0,011895445
18/09/2015;0,022292158;-0,043103448;-0,006012542;0,020436688;-0,020262954
25/09/2015;0,016418676;-0,026565027;0,004840807;-0,02963388;0,006946637
2/10/2015;0,019434629;0,00616991;0,022071102;0,015813066;0,018814675
9/10/2015;0,040356524;0,118160377;0,102078577;0,013632779;0,026315789
16/10/2015;0;-0,05800464;0,032421254;0,057354576;-0,116959064
23/10/2015;0,018324607;0,034706673;0,018286182;0,049530451;-0,010018679
30/10/2015;-0,010282776;0,03462454;-0,019991892;0,04485585;-0,018181818
6/11/2015;-0,009208973;0,027818448;0,034576286;0,053474996;0,026904263
13/11/2015;-0,013822688;-0,049450549;0,012033824;-0,025812518;-0,040149711
20/11/2015;0,025374577;0,030828516;0,012550375;0,040632054;0,064693371
27/11/2015;0,016969126;0,003530633;-0,009785559;0,007195751;-0,002996504
4/12/2015;0,003244496;-0,004759934;0,004283228;-0,000920892;-0,003840374
11/12/2015;-0,023562024;-0,064046579;-0,007543861;-0,048302212;-0,005028495
18/12/2015;0,005441211;0,016218618;0,000660077;0,037475592;-0,008591644
25/12/2015;0,024470588;0,064932226;0,018164203;-0,002032704;0,03364486
1/01/2016;-0,013321084;-0,030589201;0,010379479;0,019764933;0,007726451
8/01/2016;-0,033752328;-0,082380347;-0,086678022;-0,101850893;0,036541599
15/01/2016;-0,000240906;-0,031848604;0,001407802;-0,060736348;-0,02533837
